Nome Cliente;cidade;estado;codigo;contrato;telefone
Dr. Yasmin Saraiva;Fortaleza;Pará;0f6466ac-89d2-496b-860f-7da2a32678ed;864;(74) 2413-4866
Mariana Moraes;Rio Branco;Piauí;d8512789-cc59-4ec3-bb32-e4fc9ab1e7ec;552;(98) 1188-5404
Ricardo Pereira;Curitiba;Tocantins;bc6bb323-e70b-42d4-85f9-2a2ab93af6d9;711;(96) 5510-6272
Bruna Braga Filho;Rio de Janeiro;Paraná;29da1c66-2908-4ffc-8d36-503e04af74a5;458;(45) 88402-3033
Silas Melo;São Luís;Pernambuco;f79c9f21-2342-4752-b197-cbd45355c39d;729;(40) 4113-3334
Beatriz Carvalho;Curitiba;Alagoas;20935119-f878-4620-9166-c6c533f5349f;902;(46) 3805-1983
Eloá Saraiva;Florianópolis;Ceará;edf5e655-2155-4ce4-b3d4-591392319344;988;(68) 3550-7275
Eduardo Souza;Manaus;Mato Grosso;f6ecac8f-f7f7-4d10-ae83-8959b905e4b1;271;(81) 3844-2277
Mariana Barros;Cuiabá;Distrito Federal;dd142487-67c4-4205-a9d7-8f43346216fa;282;(70) 6286-2746
Yango Pereira;São Luís;Tocantins;3cf86212-9d09-4ea8-b8ad-748e21cfdd8d;839;(52) 5070-0089
Sílvia Costa;Aracaju;Sergipe;1cfac0f1-1259-4f61-b2eb-06b12e817fef;144;(16) 84766-3142
Ígor Melo;Maceió;Rio Grande do Norte;8b2f21e5-8619-4905-aff6-4e5dcc9b8601;352;(74) 72234-4588
César Moreira;Brasília;Mato Grosso;14c7cfc4-0e41-46f4-a9e7-d0617b053dd4;181;(75) 45386-0300
Bryan Moraes;Belo Horizonte;Rondônia;838f33b7-b7b5-4022-8e09-5209f63c7238;437;(67) 3107-8482
Clara Silva;Fortaleza;Mato Grosso do Sul;3f0eb771-aa0d-4988-b7df-ed348083f293;398;(52) 38408-6834
Elísio Carvalho;Curitiba;Tocantins;7e702077-2b04-4bad-b25f-3fdd99914e71;950;(35) 62269-7105
Ladislau Reis;Manaus;Pernambuco;6ebb16f6-de09-4679-8f32-503865ebcfbc;301;(80) 2170-1528
Marina Melo Neto;Recife;Paraná;747d9e17-0df5-4907-aedf-71db8d58bc60;300;(25) 3983-8340
Bruna Carvalho;Boa Vista;Paraíba;029678b8-32fc-4ab2-a273-7846c33a29bf;509;(75) 35462-3800
Isabella Reis;Teresina;Rondônia;0496e365-614e-4612-b289-c5deabb4f1ee;956;(35) 3440-0721
Frederico Carvalho;Rio de Janeiro;Rondônia;3e2e2574-bfaa-48f3-a809-6ae30c7d2b32;121;(56) 2382-9127
Morgana Xavier;Boa Vista;Sergipe;129be9e8-55d6-4ea2-9ade-cd1c1ccd6452;161;(73) 1511-1938
Alexandre Moraes;Natal;Goiás;64c75ca8-a7d4-46ce-95a0-10f5a96f705e;946;(68) 2055-3961
João Moraes;Fortaleza;Santa Catarina;22f559fd-c32a-4f26-a682-1a886346f892;369;(64) 2219-1667
Alessandra Reis;Belo Horizonte;Paraná;e40b8db6-d440-457d-b577-0bcd2e5df5ad;728;(36) 3927-4550
Deneval Pereira;Recife;Sergipe;17da5450-dfe9-4ba4-a431-8cfece42fa0e;645;(33) 9523-3331
Júlio Moreira;Cuiabá;São Paulo;d13780e9-5644-41d1-b341-d02ea7fe5666;743;(43) 8727-4989
Yasmin Costa;Salvador;Amazonas;b5885a79-a375-47aa-a3e1-8f5b5967f508;589;(55) 8457-0567
Maitê Moraes;São Luís;Amapá;5ffb22be-00f9-41c5-9060-abbb79e7d2e6;793;(54) 8746-9446
Daniel Nogueira;João Pessoa;Minas Gerais;9ac298e7-1572-4dd2-ba32-788304c84a0a;747;(35) 5672-9663
Aline Saraiva;Porto Velho;Rondônia;999b505f-0bfa-4e9c-82c6-49eb043c70a5;529;(51) 4667-3490
Rafaela Braga;São Luís;Rio Grande do Norte;9ecf6d57-1a2d-45b7-8fc7-d0a6e81fee71;550;(83) 30317-0966
Maria Helena Moreira;Boa Vista;Pernambuco;b816ca1b-faae-4ef6-bbf0-ed933fd304e5;247;(28) 61195-5533
Lara Santos;Belo Horizonte;Pernambuco;5330f988-ca17-4545-80a0-c326cb289f42;402;(98) 3162-8930
Ígor Batista;São Luís;Ceará;29879314-9f1d-4cbf-ab47-e59ae5e1c1b6;525;(78) 58800-8341
Morgana Souza;Natal;Tocantins;48a70218-c291-4447-bcaf-4b83c018dbb3;465;(39) 52387-7841
Dr. João Miguel Reis;Macapá;Paraíba;33fbc50f-801e-47d0-887d-7361547920aa;633;(57) 4347-5382
Marcos Albuquerque;Cuiabá;Rio Grande do Norte;120dacaf-ad3d-455d-9ed5-9bcc019e9013;195;(82) 31914-1674
Esther Albuquerque;Porto Alegre;Amazonas;6f7973d6-55d6-4f74-88dd-090a01884eab;807;(85) 51307-5062
Ana Luiza Oliveira;São Paulo;Acre;705800a0-3670-486c-ac21-32af0336aa5e;329;(69) 5181-0611
Vitória Barros;São Luís;Goiás;2a679684-4df5-4d18-844d-fdcdd4576173;838;(87) 1558-4340
Lorena Pereira;Belo Horizonte;Alagoas;38098e4e-56b7-4e77-9700-1a92dc3322eb;815;(44) 2656-7807
Lorenzo Albuquerque;Fortaleza;Rio de Janeiro;c46a9fb0-7ea7-4296-b14d-ccd7b5df4cd4;545;(26) 2927-1352
Margarida Franco;São Luís;Acre;77151904-cc50-4dc4-9a0f-9ea5ab631395;991;(95) 27327-0688
Davi Lucca Santos;Belém;Pará;c79187f1-37f6-4037-8afe-fbafcf2876f1;240;(66) 28293-3662
Lívia Oliveira Filho;Natal;Santa Catarina;dae39b19-d7cc-4ed9-8771-49baf73175b6;666;(79) 8045-8691
Sr. Roberta Carvalho;Recife;Minas Gerais;2bee0551-9b87-40c1-b748-a04936f12597;983;(22) 6755-7982
Heitor Moraes;João Pessoa;Paraíba;17f8835d-1a0d-432a-89e2-276815cb2c61;173;(98) 8477-8221
Paulo Xavier;Belo Horizonte;Ceará;9f84e83f-f4f4-45e3-b5e2-5308a169f90c;638;(54) 2218-1263
Fabiano Albuquerque Neto;Macapá;Piauí;8ef0f8e9-cd27-494e-aa00-26de5ac6a3a7;442;(53) 8048-4458
Júlio Nogueira;São Luís;Espírito Santo;c91cad93-ca7d-4b22-a576-1d2333dcab60;765;(30) 95851-9571
Ladislau Barros;Manaus;Rio de Janeiro;24a4ba39-2732-4745-ad99-9ed50930a1b1;717;(12) 89929-4429
Sra. Yuri Oliveira;Fortaleza;Pará;eebb96fe-e66a-42c7-9c00-8083465fe09f;189;(15) 5853-7980
Manuela Batista Jr.;Palmas;Espírito Santo;baa00cf0-bd4c-4267-b254-b511937633fb;820;(82) 2143-1268
Théo Albuquerque;São Paulo;Mato Grosso do Sul;e6559458-419c-41fe-953f-2c52d834af5e;806;(25) 63746-9359
Gabriel Albuquerque;Goiânia;Mato Grosso;66a3a8c3-6f04-4680-8100-d9143aed615a;590;(33) 2439-5357
Manuela Costa;Salvador;Santa Catarina;35df60ed-2ee9-4bfe-905b-abf05092c031;200;(39) 2357-8851
Maria Clara Silva;Manaus;Amapá;1241ab15-ff74-4dd8-920f-674e0ff78bd6;785;(36) 9456-0511
Dra. Ana Clara Batista;Palmas;Rio Grande do Sul;586c2b13-4b7a-4cfb-aeff-6c91244af6b4;759;(25) 3605-4539
Théo Barros;Curitiba;Rio de Janeiro;0fc6541e-ab0c-420f-aa3e-721e9bbbe3c6;959;(42) 85542-5968
Ana Júlia Santos;Belém;Santa Catarina;2a455e03-dd9a-4f70-86b0-d8c0c3fec60f;505;(31) 61034-3391
Lucca Silva;Rio de Janeiro;Ceará;4a160254-daab-43d8-b6ea-bb05b1f33792;696;(36) 58845-9529
Sr. Roberto Nogueira;Recife;Maranhão;33564c6e-d14c-48a4-b7ba-0f25ed1e66f3;692;(34) 2746-6422
Márcia Costa;Salvador;Rio Grande do Sul;fdcfc88a-bea6-4d4b-94c5-c2a06295e6b0;967;(18) 21231-0383
Fabrícia Oliveira;Boa Vista;Rio de Janeiro;b20d55d7-b992-4bd3-b66d-c77dc9ed6697;426;(81) 1378-7865
Marcos Moraes Filho;Boa Vista;Maranhão;2266712e-c254-48a5-b78b-b510b4ada190;146;(31) 7061-8844
Antonella Macedo;Curitiba;Amapá;468496d0-63d2-4df5-9517-0a94df9f9064;720;(87) 48848-8918
Pedro Nogueira;João Pessoa;Amazonas;d1f6480b-9f67-4882-a30d-ae213cc87204;212;(54) 7330-0693
Calebe Albuquerque;Boa Vista;Piauí;e3a19bce-97b2-4a7e-bf75-428ff653cad6;601;(58) 32685-4700
Isabel Batista;Aracaju;Goiás;439e6ba4-ab3b-455e-8f60-3c1c1cebd846;985;(45) 1097-8003
João Miguel Saraiva;São Luís;Rio Grande do Sul;00bacd66-7c57-4dc0-8fa0-b717fc7a614b;438;(49) 3956-0854
Mércia Nogueira;Rio de Janeiro;Mato Grosso do Sul;0e887714-c86b-4ccd-92a9-153ccbac5da9;467;(63) 41494-0999
Sra. Carla Moraes;São Paulo;Santa Catarina;74d84c8a-0c85-4a03-8444-03a558d86158;577;(96) 84528-8880
Heloísa Reis;Maceió;Acre;d002cc57-7c65-414d-bb08-453ca6b91d98;819;(48) 1220-2867
Fabrícia Franco;Rio Branco;Roraima;66c6e595-10c6-4b16-a313-b566b333b55e;699;(47) 6443-0099
Fábio Pereira;Curitiba;Goiás;b1453bfa-5f26-46ec-a5ab-afd97adcd039;354;(25) 3592-9604
Núbia Macedo;Rio Branco;Rio Grande do Sul;b025a49c-ff8f-41b7-be88-21c07b22ad8b;752;(15) 7446-5018
Davi Lucca Pereira;Aracaju;Amazonas;ec7b7980-7a8f-4556-8e6f-c57431241a3d;361;(18) 5280-0947
Mariana Souza;Macapá;Espírito Santo;7883ad76-b80b-4904-ae43-1512180a490b;995;(37) 6439-6885
Karla Braga Jr.;Belo Horizonte;Maranhão;34da307e-f7a7-4975-8aa4-07262464783c;316;(37) 68529-2385
Gúbio Saraiva;Belém;Rio de Janeiro;f4f9c265-3a1a-460b-a1c1-c221fd275a29;710;(42) 6799-0991
Margarida Santos;Maceió;Roraima;9f862561-f8e0-4904-8688-aeeb111ff8b4;767;(71) 47078-0506
Pablo Albuquerque;Teresina;Pernambuco;6b63aff0-ad2a-43fd-9926-a3e168b2af36;739;(53) 4933-8282
Gael Carvalho Neto;Goiânia;Paraíba;127d4f6b-0fa5-4bb1-8b2c-43a971f540f6;975;(66) 1168-8034
Isis Melo;Palmas;São Paulo;4c0afbf9-f07c-409a-93bc-c42f041b4868;263;(81) 8519-4842
Srta. Núbia Martins;Rio de Janeiro;Pernambuco;660dc292-eaa7-4b18-81f5-65a5dc89c5a9;684;(81) 3090-6003
Esther Carvalho;Curitiba;Alagoas;ef224ee3-1d3e-4dd2-8ed4-612856aa3fbd;528;(44) 4234-0936
Roberto Franco;Maceió;São Paulo;2d4de801-29cb-4acf-8419-b9664f38677c;435;(33) 7175-3143
Norberto Moraes;Cuiabá;Piauí;d43ae9e8-eb29-4882-8cf6-9c4a12f16207;506;(40) 99115-4542
Liz Braga;Curitiba;Alagoas;a116c85e-323b-47b9-b8a2-c1a3710d793e;328;(96) 4743-3126
João Pedro Martins;Porto Velho;Paraná;f7af6367-6aee-4a74-b709-64565044b3ad;100;(90) 7222-2420
Lívia Xavier;Aracaju;Distrito Federal;9063d50a-dd3c-4555-b190-114409c0ba69;512;(61) 4863-1770
Norberto Oliveira;Teresina;Rio Grande do Norte;7953bf2d-79e8-4cda-bcbf-1674d5f67f4f;481;(32) 5181-4118
Júlio Carvalho;João Pessoa;Bahia;97f3fe6e-4fa9-4c3d-b2f1-79d40a02e889;800;(35) 99002-3214
Lorenzo Silva;Campo Grande;Pará;93e41217-e0d6-4898-9836-93c310f144e9;122;(97) 3750-1324
Washington Oliveira;Cuiabá;Rio Grande do Sul;29b48e9b-969b-461b-b08b-aa1517899441;289;(30) 38036-1731
Dra. Alessandro Santos;Rio de Janeiro;Ceará;ee65afd7-db22-4200-800c-900af7bb44b4;155;(96) 14337-7798
Manuela Martins;Natal;Roraima;16cb6eba-2ada-4042-8ee5-3a2b59892a94;805;(96) 1946-2065
Melissa Melo;Porto Velho;Minas Gerais;d232309d-2427-4466-bbfa-6cd2fb7cc6e5;631;(93) 33640-0958
Aline Franco;São Luís;Pernambuco;2affa11f-48fb-46d6-9c4b-a1dae8d8c24f;475;(93) 6975-9377
Sra. Isabella Melo;Porto Velho;Amapá;9159135a-4479-49c3-a11e-baf2657e5d97;273;(59) 5918-2831
Lorraine Martins Filho;Belém;Maranhão;b00d1280-89f4-48d7-98b3-a3ffe8b3d6f5;243;(15) 5817-0728
Sr. Roberta Silva;Porto Alegre;Mato Grosso;06a0af92-9abb-43c0-aacf-6c67a32aeef7;262;(25) 3291-4530
Márcia Melo Neto;Macapá;Amazonas;8c46c1bc-3ce9-4ce6-8d0a-3770963fdbe7;948;(49) 8820-5984
Silas Pereira;João Pessoa;Sergipe;e139e135-69d5-485d-b5d4-8b98647726f3;149;(80) 1085-9948
Marina Moraes;Palmas;Goiás;db4f620c-7a84-45b5-bdc9-e53861bac985;296;(20) 7134-7543
Lucca Costa;Aracaju;Mato Grosso do Sul;76705250-102f-4dca-9ed6-dcfc839d968f;152;(36) 8682-5546
Mércia Martins;Palmas;Piauí;d2347fa9-26db-4a7b-ba58-02534aa27c5f;284;(86) 37514-9182
Laura Silva Filho;Belo Horizonte;Amazonas;9ec91395-b934-4498-872c-895728b06abd;860;(36) 3019-5193
Isabela Nogueira;Recife;Sergipe;69676a50-4709-423a-9641-f7a4b6abc936;452;(27) 3514-0621
Benjamin Xavier;Natal;São Paulo;72ef8276-e969-4109-8d79-eb373605791b;267;(81) 5390-3980
Sr. Gustavo Moreira;Goiânia;Mato Grosso do Sul;1b70da76-f854-4673-802f-08330760ed98;463;(28) 30988-7113
Márcia Barros Neto;São Paulo;Paraíba;239ff588-6188-41cb-aede-69ad46bf0de2;716;(70) 34931-6964
Kléber Saraiva;Curitiba;Bahia;b53c50d9-c8e6-4ad2-aaae-383bef33eb32;642;(60) 8693-3424
Luiza Saraiva;Florianópolis;Ceará;2d841865-b510-4f40-aa12-0c33c2070b2f;534;(63) 4087-5704
Dr. João Pedro Pereira;Maceió;Espírito Santo;335c9d2b-58bf-4cda-9526-35fa03d3c1b8;907;(19) 2712-2066
Paulo Pereira;Vitória;Rio de Janeiro;43101cd7-61ee-4bd4-abab-7b706db48bb2;578;(64) 48523-0111
Suélen Costa;Palmas;Goiás;bb9758fc-a5ca-4ff1-8cf9-e1b16350985d;255;(39) 99635-9454
Maria Cecília Souza;Fortaleza;Amazonas;54bee8e9-c275-4fe4-9927-2759b027aa0f;507;(10) 3005-9823
Célia Macedo;Maceió;Sergipe;7626e613-b0c6-4f07-9a76-644a4987bf96;830;(28) 1904-1060
Ana Laura Oliveira;Florianópolis;Piauí;7c19f9a1-5617-493a-9db3-1c214dddc060;630;(90) 3873-2389
Isabela Melo;Macapá;Roraima;fa135e7a-9176-496b-b714-62947ba70953;702;(82) 3194-0977
Dra. Nicolas Saraiva;Brasília;Pernambuco;1337f415-a979-4c18-ae55-c528f4f16e95;249;(47) 3382-9053
Silas Moraes;Maceió;Amazonas;b17ce408-6e81-4010-9517-c761620cce8e;505;(94) 1633-8584
Marcela Macedo;Natal;Rio Grande do Sul;58ab6c2a-1554-46a4-bfe2-c8f6b85dad43;377;(49) 33103-0984
Silas Macedo;Brasília;Mato Grosso;9278cf5a-1bfe-4db9-a98d-0de3a46e2305;552;(48) 8649-6484
Sra. Ladislau Carvalho;Manaus;São Paulo;5de3939b-a74d-4e3d-86c2-c70005e1ed30;168;(10) 7178-8916
Sarah Reis;Campo Grande;Amazonas;0d4cf589-67d4-4a98-8fc9-79850df5cbd7;284;(58) 3386-3797
Maria Eduarda Moraes;Vitória;Rio de Janeiro;d8b4ff66-b33f-4a73-9a3d-adff812b0c5e;418;(72) 68859-7411
Lívia Martins;Salvador;Mato Grosso do Sul;11c845bb-a531-4eb3-9c1b-189222d82da9;604;(85) 44897-5327
Luiza Costa;Fortaleza;Minas Gerais;a5f3e8e9-ddb8-4d44-b793-246f4a056c2d;548;(58) 71810-6131
Srta. Ricardo Martins;São Luís;Bahia;b3a89c46-9f49-4d48-9656-6c6cbe722c3f;236;(16) 6143-2937
Gustavo Pereira;Macapá;Goiás;b18608ea-cdde-4509-b045-0929757a5429;211;(17) 2089-8405
Eduarda Braga;São Luís;Espírito Santo;61e05838-0ba6-4ce5-8dfc-12575fc74871;216;(37) 58815-3662
Dra. Maria Júlia Melo;Florianópolis;Goiás;500ab524-2e2d-42a7-bbcb-21d48478c10b;251;(74) 5013-3876
João Miguel Moreira;Macapá;Tocantins;1fa30350-413b-4e5e-8081-faf9a6de3e5d;298;(26) 32843-9019
Marli Carvalho;Rio Branco;Piauí;2a2c354b-57e9-4a7a-9d58-53dd09a7b6e8;523;(72) 38490-5903
Roberta Carvalho;Salvador;Mato Grosso do Sul;055de381-562a-4cd0-91a3-70a2e6f4585e;589;(66) 32119-1666
Bernardo Souza Jr.;João Pessoa;Mato Grosso;39fe0be5-e407-4ad3-9cd3-68c0b5c18089;433;(14) 7710-6254
Morgana Macedo;Goiânia;Mato Grosso do Sul;17f6ef4a-6f36-4539-bb86-7c207c418ea1;357;(76) 5850-3478
Eloá Santos;Teresina;Santa Catarina;48353fc7-8d43-4fba-891c-86fb57236c15;789;(71) 7296-6815
Nicolas Silva Neto;Rio Branco;Pará;f322bd02-5d4f-4d9b-bf4f-1d3ccd528ea0;213;(72) 2877-6733
Elisa Oliveira;Natal;Distrito Federal;5c043054-0c95-4eef-bc61-9cf45f392384;885;(92) 1885-1438
Roberto Albuquerque;João Pessoa;Rondônia;218ac3e3-5feb-4da8-8d15-465eda4e6317;644;(47) 55787-8465
Fabiano Silva;Fortaleza;São Paulo;f1d415b2-a0e3-477a-92a0-e1c3560c3e27;286;(86) 92069-3895
Víctor Santos Filho;João Pessoa;Rio Grande do Norte;52448cd3-17ae-4978-a858-76246d77b122;977;(21) 78165-6192
Danilo Franco Jr.;Fortaleza;Pará;68db4f26-5451-4e21-af45-8c9171b61564;487;(35) 3745-8135
Isabela Albuquerque;Porto Alegre;Goiás;a7c2a0dc-83cf-41c5-8b00-8c20db5a465a;563;(30) 1682-6749
Karla Melo;Teresina;Ceará;550bfe8d-be8e-445f-9a63-556b7c4494ed;305;(60) 7260-3989
Dr. Tertuliano Souza;Brasília;Tocantins;7f9a838b-47dd-4a32-9455-927a3360faee;420;(44) 15391-4292
Meire Albuquerque;São Paulo;Amazonas;79bfc5e4-6bac-4fd7-82de-12171c95ea9a;873;(53) 70527-3020
Théo Martins;Florianópolis;Piauí;595ab5d5-ed93-4e4b-8bf4-3ba469656f79;617;(83) 92188-4148
Arthur Reis;Curitiba;Ceará;0d1ce1f0-642a-4a50-9d74-e86be8c96699;380;(51) 3052-7661
Félix Carvalho;Florianópolis;Roraima;540cc562-7a51-40b0-b1b7-78e188fe811f;932;(57) 6272-4973
Pablo Xavier;Salvador;Minas Gerais;5afa9818-d64e-4b47-b7a5-f9c85969f75c;275;(97) 3902-5410
Marli Costa;Teresina;Santa Catarina;b9a292aa-ea21-4f46-9dde-e88989ef09aa;200;(63) 7109-5714
Suélen Barros;Brasília;Rio Grande do Sul;a2f87e1a-1619-4b10-8441-5d49b0060e27;346;(78) 33590-8741
Ricardo Franco;Rio Branco;Bahia;9ebe9999-c97c-4ce8-a2cd-9fef49ba68a6;699;(70) 2020-6630
João Lucas Barros;João Pessoa;Rio Grande do Sul;c4a726e9-439f-4890-9d93-68176f24f31d;914;(52) 3895-9394
Isabella Batista;Teresina;Paraná;998940e5-2a1f-45d0-a5fa-d972f21801dc;444;(36) 7379-0621
Maria Luiza Moreira;Macapá;Goiás;4d5b8503-d2d4-4af2-91f6-afa72b4c94a4;987;(64) 3289-0908
Hélio Melo;Campo Grande;Ceará;e6889e72-f7fe-40a1-a050-2184f4c9ee20;366;(20) 3213-2329
Joaquim Carvalho;Maceió;Espírito Santo;f053298d-0a4d-47c2-8e58-1691ebdaf34c;899;(92) 7753-1446
Liz Macedo;Salvador;Paraíba;d9ff25ad-0507-4db7-bc2c-ca6d12960928;828;(65) 39646-2757
Márcia Carvalho;Porto Alegre;Mato Grosso;77852f9e-e075-40eb-9014-5055c1ac0cd9;844;(53) 9816-6014
Mércia Martins;Macapá;Rio Grande do Sul;46a1e017-cc94-4cd1-a3e4-be9314416037;679;(14) 3647-4847
Sr. Marcos Saraiva;Teresina;Piauí;bf74aca5-c272-4895-b837-6fc70cfcce1d;265;(61) 19638-7541
Henrique Carvalho Filho;João Pessoa;São Paulo;90816580-06f8-429d-96fd-64fe078dfadb;332;(32) 2400-4267
Marli Macedo;Salvador;Distrito Federal;53e2f879-e484-4afc-aa05-3eb4f8d73483;398;(43) 3533-7233
Alessandra Macedo;Maceió;Tocantins;31044236-abf8-47f1-8c9a-819606d6fbc7;311;(45) 60359-5176
Maria Clara Batista;São Luís;Mato Grosso;69a37b00-04ae-4aa6-b782-703c8d97426b;808;(22) 1817-9539
Sra. Cauã Reis;Curitiba;Rio Grande do Sul;3bdbee16-2047-4946-a47f-6e9b484c4bc9;477;(32) 68912-6633
Sra. Ana Luiza Souza;Salvador;Acre;73c8ce79-722e-4ad9-920d-9ad5dbc89661;323;(39) 5514-2934
Pedro Henrique Martins;Manaus;Ceará;48453d50-d98d-4632-b767-6a404cad92f3;580;(49) 83860-9791
Clara Braga;Maceió;Goiás;712795b7-c901-4424-ae49-4f43934af24e;979;(68) 44238-5843
Dr. Isabel Batista;Porto Velho;Mato Grosso do Sul;ab8f0a3d-6b48-4126-9ea6-e51f98f93937;339;(90) 32308-8032
Lívia Pereira;Curitiba;Rio de Janeiro;3ccbd7bd-950f-496e-9aac-a70304445e4d;524;(33) 9022-0393
Srta. Júlio Xavier;Florianópolis;Pará;b61a705e-0674-4365-99f0-25cfb3f4b97b;919;(57) 8082-4168
Isis Albuquerque;Boa Vista;Maranhão;5ae430b6-5f40-4b0b-b114-988119f39eae;948;(99) 2383-5363
Dra. Théo Nogueira;Goiânia;Rondônia;b8996f9f-ba1b-48f2-af04-94e0e8d5a5f6;380;(35) 4150-8666
Joana Pereira;Brasília;Mato Grosso;b8a1f53d-0f41-455a-8819-4521e1dd3955;160;(84) 2327-8249
Dr. Hélio Melo;São Paulo;Santa Catarina;c8ed1e01-d038-4b90-aa0c-7d0367f7cb89;377;(45) 47138-8510
Isabela Pereira;São Luís;Roraima;7c1012c2-5a4f-4124-bdaf-f08773159d84;676;(32) 62779-7087
Lorraine Batista;João Pessoa;Pernambuco;f9ee2f43-a868-4c6e-95c9-cf897ff5cd2a;950;(33) 38351-6108
Vitor Martins;Brasília;Sergipe;089f422b-415c-4a7d-9219-002eedcbfa26;518;(66) 13309-3331
Hélio Silva;Teresina;Paraíba;d3d3843b-30ea-40de-83e6-fce91bed0cda;750;(67) 83982-8210
Júlio César Braga;Cuiabá;Mato Grosso do Sul;0c899206-b3b1-4817-8d8c-84cf174c0c31;596;(28) 22948-5865
Joaquim Melo;Natal;Maranhão;51d7d6c5-a90e-4c8f-9bb6-2dbbf36cbe13;317;(58) 9781-8843
Maria Alice Macedo;Macapá;Pernambuco;60ede894-c6a6-429a-83f9-772b709070d9;944;(13) 4415-0140
Alessandro Moraes;Florianópolis;Roraima;664b23c9-d868-4ffe-b3d0-0bd5729fc54e;924;(77) 2724-3621
Margarida Costa;Cuiabá;Amapá;1db5a869-0a38-4528-99e3-db8145028a8b;484;(84) 3503-3445
Bruna Saraiva;Rio de Janeiro;Roraima;3779a59c-dfaa-4689-aaba-0dde082c3381;497;(29) 9061-4329
Yuri Barros;Campo Grande;Sergipe;5fdc4162-db8d-4a5c-aa3a-6344597877fc;976;(46) 8873-8853
Rafaela Barros;Maceió;Alagoas;ff61b534-f772-4807-89b5-d0eb7277cf4a;414;(81) 8051-4902
Maria Cecília Martins;Florianópolis;Distrito Federal;12eae620-cb38-4e96-8b0d-b539d49f0684;114;(48) 22398-4547
Isabela Silva;Macapá;Maranhão;c9037b1f-55ad-4f75-9989-66fdc89bf47f;929;(29) 3673-5886
Pedro Macedo;Rio Branco;Rondônia;5736908f-37c8-4fab-bb5d-72f3526ed5c6;207;(95) 92846-4574
Joana Braga;Palmas;Minas Gerais;52c8db18-c6ff-4426-b97e-f63896b5db67;113;(21) 2290-6985
Esther Melo;São Paulo;Espírito Santo;2485f87e-ba45-4107-9712-09c6a1be4a84;558;(10) 2946-9865
Rafael Batista;Porto Alegre;Mato Grosso;c51673fb-8c7b-45ba-a2ee-4275a2d62616;126;(87) 1200-4037
João Miguel Moraes;Macapá;Distrito Federal;4939b3d4-3f57-4682-8512-298b23fc5c60;506;(98) 31919-7641
Marina Souza;Porto Velho;Mato Grosso do Sul;5a7726fe-5a66-4884-889d-728c8d052abb;231;(16) 61096-1726
Maria Júlia Macedo;Brasília;Sergipe;afc02bf9-3e4e-4c41-8069-e7bf14221549;549;(92) 15305-1143
Théo Braga Filho;Natal;Pará;48215a54-0183-483a-8d62-89472f7a273a;367;(11) 2729-4431
Bruna Franco;Rio de Janeiro;Acre;a68cc8e6-9e20-4c52-8d53-805f4228e821;139;(37) 3786-9999
Lorraine Costa;Manaus;Maranhão;8eda1e03-eaea-49e5-a93e-1691b15b76e9;361;(30) 4712-7854
Meire Melo Filho;Porto Alegre;Bahia;e9e9b2fd-7b3c-40b4-beeb-5107b2bec348;780;(82) 4425-8136
Sílvia Xavier;Palmas;Rio de Janeiro;0af0e6ff-5eb7-47ec-9639-f628e029fd49;747;(96) 6003-5852
Sr. Félix Batista;Belém;Rio de Janeiro;099bf2f5-8f33-4338-a33e-0ad4d46cca16;915;(60) 8041-9788
Suélen Silva;Macapá;Pará;0fc8818c-a951-4607-b378-67d9818f5f06;113;(13) 5492-5451
Bernardo Saraiva;Campo Grande;Espírito Santo;8c83b50d-ba31-4aea-b342-58a3b564f4a9;240;(87) 11839-7721
Natália Braga;Manaus;Goiás;a90f0351-fff7-4dda-87f8-85d4c7727ba5;407;(90) 7777-0155
Sra. Isabella Oliveira;Porto Alegre;Rio de Janeiro;72f8990f-7d8a-44ab-9724-a0de97905780;996;(99) 35672-9213
Antonella Moreira;Aracaju;São Paulo;75f42ce6-6f8f-4b02-97b4-670304ff4b9a;550;(19) 3356-9245
Suélen Albuquerque;Fortaleza;Pará;00005073-83b7-48eb-9785-e3616c7be964;461;(64) 5961-8283
Isabela Franco;São Luís;Sergipe;19a676e4-3cc5-45ae-b6cb-838a5f8b2655;442;(89) 8751-5745
Benjamin Reis;Vitória;Santa Catarina;56ae8011-7987-4037-82b9-0a832714ea4b;419;(37) 44335-0896
Daniel Barros;João Pessoa;Rio Grande do Norte;d52e8a0d-de20-47b2-9a21-e15310885082;973;(16) 3029-9916
Mariana Melo;Belo Horizonte;Rio Grande do Sul;5be6a310-7462-4aca-9175-bafbc93683fd;784;(91) 7115-6678
Aline Melo;Belo Horizonte;Rio de Janeiro;58d8858d-a988-4fdd-b5ed-27913f70a8b9;706;(32) 8327-4005
Talita Barros;Natal;Rio de Janeiro;fbce9e15-8cef-4782-ad9e-7cfd81de2550;511;(81) 8463-7195
Sílvia Saraiva;Curitiba;Mato Grosso do Sul;76c0a02d-a9ae-4c37-8797-02b95aa3c901;765;(43) 3385-9086
Vicente Albuquerque;Manaus;Tocantins;cc30fbf1-c0af-4024-95f7-0da1a754cb01;409;(20) 2805-1100
Melissa Nogueira;Vitória;Minas Gerais;7695270f-e2dc-4adc-8654-e70a697f20f2;690;(65) 78704-1938
Carlos Moraes;Fortaleza;Acre;5a5c92ca-09e8-46c4-8cfe-f306489637db;416;(63) 9052-7925
